chromosome,position,coverage
NW_003526941.1,889682,62
NW_003526941.1,889690,67
NW_003526941.1,889703,79
NW_003526941.1,889704,81
NW_003526941.1,889715,94
NW_003526941.1,889928,109
NW_003526941.1,889959,121
NW_003526941.1,889972,123
NW_003526941.1,890193,147
NW_003526941.1,890196,144
NW_003526941.1,890200,144
NW_003526941.1,890201,146
NW_003526941.1,890212,146
NW_003526941.1,890217,145
NW_003526941.1,890223,144
NW_003526941.1,890226,147
NW_003526941.1,890234,142
NW_003526941.1,890236,141
NW_003526941.1,890246,102
NW_003526941.1,890247,102
NW_003526941.1,890250,138
NW_003526941.1,890254,141
NW_003526941.1,890257,143
NW_003526941.1,890267,153
NW_003526941.1,890274,153
NW_003526941.1,890275,156
NW_003526941.1,890430,171
NW_003526941.1,890438,189
NW_003526941.1,890443,192
NW_003526941.1,890451,196
NW_003526941.1,890452,196
NW_003526941.1,890454,198
NW_003526941.1,890455,201
NW_003526941.1,890457,202
NW_003526941.1,890460,211
NW_003526941.1,890461,211
NW_003526941.1,890463,209
NW_003526941.1,890467,215
NW_003526941.1,890470,220
NW_003526941.1,890482,229
NW_003526941.1,890485,235
NW_003526941.1,890493,248
NW_003526941.1,890494,249
NW_003526941.1,890505,267
NW_003526941.1,890584,287
NW_003526941.1,890588,288
NW_003526941.1,890589,289
NW_003526941.1,890607,289
NW_003526941.1,890615,287
NW_003526941.1,890619,287
NW_003526941.1,890628,272
NW_003526941.1,890694,305
NW_003526941.1,890695,300
NW_003526941.1,890701,284
NW_003526941.1,890750,235
NW_003526941.1,890764,221
NW_003526941.1,890768,217
NW_003526941.1,890769,219
NW_003526941.1,890776,214
NW_003526941.1,890777,214
NW_003526941.1,890778,215
NW_003526941.1,890781,256
NW_003526941.1,890784,259
NW_003526941.1,890785,260
NW_003526941.1,890786,261
NW_003526941.1,890789,261
NW_003526941.1,890792,267
NW_003526941.1,890793,307
NW_003526941.1,890794,315
NW_003526941.1,890796,343
NW_003526941.1,890797,376
NW_003526941.1,890798,1133
NW_003526941.1,890799,1159
NW_003526941.1,890800,1179
NW_003526941.1,890802,1235
NW_003526941.1,890803,1272
NW_003526941.1,890804,1304
NW_003526941.1,890805,1316
NW_003526941.1,890806,1352
NW_003526941.1,890807,1368
NW_003526941.1,890808,1401
NW_003526941.1,890809,1430
NW_003526941.1,890810,1446
NW_003526941.1,890811,1465
NW_003526941.1,890812,1510
NW_003526941.1,890814,1582
NW_003526941.1,890816,1661
NW_003526941.1,890818,1708
NW_003526941.1,890821,1770
NW_003526941.1,890822,1790
NW_003526941.1,890824,1846
NW_003526941.1,890825,1877
NW_003526941.1,890826,1907
NW_003526941.1,890827,1934
NW_003526941.1,890830,2008
NW_003526941.1,890834,2038
NW_003526941.1,890836,2050
NW_003526941.1,890838,2065
NW_003526941.1,890839,2075
NW_003526941.1,890854,2024
NW_003526941.1,890857,2016
NW_003526941.1,890859,2014
NW_003526941.1,890868,1999
NW_003526941.1,890869,1999
NW_003526941.1,890870,2003
NW_003526941.1,890871,2033
NW_003526941.1,890874,2021
NW_003526941.1,892631,4
NW_003526941.1,892653,10
NW_003526941.1,892654,14
NW_003526941.1,892655,19
NW_003526941.1,892656,20
NW_003526941.1,892661,24
NW_003526941.1,892662,149
NW_003526941.1,892666,161
NW_003526941.1,892670,167
NW_003526941.1,892671,168
NW_003526941.1,892672,170
NW_003526941.1,892673,179
NW_003526941.1,892674,186
NW_003526941.1,892675,193
NW_003526941.1,892676,199
NW_003526941.1,892677,205
NW_003526941.1,892678,210
NW_003526941.1,892679,221
NW_003526941.1,892683,13
NW_003526941.1,892684,261
NW_003526941.1,892685,265
NW_003526941.1,892686,270
NW_003526941.1,892687,281
NW_003526941.1,892688,307
NW_003526941.1,892689,322
NW_003526941.1,892690,335
NW_003526941.1,892691,346
NW_003526941.1,892699,356
NW_003526941.1,892703,359
NW_003526941.1,892708,376
NW_003526941.1,892709,388
NW_003526941.1,892710,403
NW_003526941.1,892711,411
NW_003526941.1,892713,414
NW_003526941.1,892716,419
NW_003526941.1,892719,425
NW_003526941.1,892726,429
NW_003526941.1,892775,159
NW_003526941.1,892791,156
NW_003526941.1,892798,154
NW_003526941.1,892805,154
NW_003526941.1,892912,112
NW_003526941.1,892940,114
NW_003526941.1,892956,109
NW_003526941.1,893008,78
NW_003526941.1,893015,73
NW_003526941.1,893018,70
NW_003526941.1,893020,71
NW_003526941.1,893201,8
NW_003526941.1,893209,16
NW_003526941.1,893210,38
NW_003526941.1,893212,41
NW_003526941.1,893213,43
NW_003526941.1,893214,48
NW_003526941.1,893215,50
NW_003526941.1,893216,57
NW_003526941.1,893218,61
NW_003526941.1,893219,63
NW_003526941.1,893224,72
NW_003526941.1,893225,74
NW_003526941.1,893226,75
NW_003526941.1,893227,81
NW_003526941.1,893229,84
NW_003526941.1,893230,92
NW_003526941.1,893234,109
NW_003526941.1,893235,112
NW_003526941.1,893237,119
NW_003526941.1,893238,121
NW_003526941.1,893239,123
NW_003526941.1,893240,125
NW_003526941.1,893243,128
NW_003526941.1,893244,132
NW_003526941.1,893247,139
NW_003526941.1,893248,141
NW_003526941.1,893249,145
NW_003526941.1,893251,145
NW_003526941.1,893252,147
NW_003526941.1,893255,151
NW_003526941.1,893256,154
NW_003526941.1,893257,156
NW_003526941.1,893262,172
NW_003526941.1,893265,180
NW_003526941.1,893266,183
NW_003526941.1,893267,186
NW_003526941.1,893269,188
NW_003526941.1,893270,192
NW_003526941.1,893293,243
NW_003526941.1,893310,256
NW_003526941.1,893320,265
NW_003526941.1,893327,267
NW_003526941.1,893330,273
NW_003526941.1,893334,267
NW_003526941.1,893335,267
NW_003526941.1,893346,270
NW_003526941.1,893356,268
NW_003526941.1,893546,144
NW_003526941.1,893553,134
NW_003526941.1,893601,110
NW_003526941.1,893602,114
NW_003526941.1,893620,137
NW_003526941.1,893622,136
NW_003526941.1,893628,143
NW_003526941.1,893632,155
NW_003526941.1,893636,143
NW_003526941.1,893638,152
NW_003526941.1,893644,150
NW_003526941.1,893658,153
NW_003526941.1,893734,264
NW_003526941.1,893737,276
NW_003526941.1,893764,277
NW_003526941.1,893781,307
NW_003526941.1,893793,320
NW_003526941.1,893794,319
NW_003526941.1,893803,319
NW_003526941.1,893805,321
NW_003526941.1,893815,335
NW_003526941.1,893831,327
NW_003526941.1,893836,320
NW_003526941.1,893839,318
NW_003526941.1,893842,317
NW_003526941.1,893843,314
NW_003526941.1,893844,313
NW_003526941.1,893849,310
NW_003526941.1,893850,305
NW_003526941.1,893854,290
NW_003526941.1,893861,280
NW_003526941.1,893862,278
NW_003526941.1,893864,274
NW_003526941.1,893868,267
NW_003526941.1,893869,265
NW_003526941.1,893872,263
NW_003526941.1,893968,139
NW_003526941.1,893977,136
NW_003526941.1,893999,130
NW_003526941.1,894035,127
NW_003526941.1,894159,64
NW_003526941.1,894169,67
NW_003526941.1,894184,127
NW_003526941.1,894189,130
NW_003526941.1,894207,141
NW_003526941.1,894246,138
NW_003526941.1,894420,81
NW_003526941.1,894481,76
NW_003526941.1,894601,57
NW_003526941.1,895048,47
NW_003526941.1,895060,46
NW_003526941.1,895072,47
NW_003526941.1,895073,48
NW_003526941.1,895077,47
NW_003526941.1,895079,49
NW_003526941.1,895083,53
NW_003526941.1,895086,55
NW_003526941.1,895259,39
NW_003526941.1,895263,41
NW_003526941.1,895264,43
NW_003526941.1,895269,48
NW_003526941.1,895289,50
NW_003526941.1,895290,55
NW_003526941.1,895293,61
NW_003526941.1,895301,64
NW_003526941.1,895314,68
NW_003526941.1,895315,71
NW_003526941.1,895340,96
NW_003526941.1,895413,113
NW_003526941.1,895420,110
NW_003526941.1,895476,98
NW_003526941.1,895477,99
NW_003526941.1,895482,107
NW_003526941.1,895483,110
NW_003526941.1,895486,116
NW_003526941.1,895487,119
NW_003526941.1,895491,126
NW_003526941.1,895497,130
NW_003526941.1,895499,132
NW_003526941.1,895508,141
NW_003526941.1,895509,143
NW_003526941.1,895597,194
NW_003526941.1,895654,194
NW_003526941.1,895732,157
NW_003526941.1,895737,153
NW_003526941.1,895738,155
NW_003526941.1,895751,144
NW_003526941.1,895873,144
NW_003526941.1,895875,147
NW_003526941.1,895935,175
NW_003526941.1,895937,180
NW_003526941.1,896271,322
NW_003526941.1,896315,357
NW_003526941.1,896537,209
NW_003526941.1,896538,210
NW_003526941.1,896543,210
NW_003526941.1,896547,210
NW_003526941.1,896606,210
NW_003526941.1,896607,209
NW_003526941.1,896629,205
NW_003526941.1,896764,154
NW_003526941.1,896782,159
NW_003526941.1,896787,164
NW_003526941.1,896792,164
NW_003526941.1,896798,172
NW_003526941.1,896809,164
NW_003526941.1,896823,163
NW_003526941.1,896836,173
NW_003526941.1,896838,174
NW_003526941.1,897035,224
NW_003526941.1,897037,222
NW_003526941.1,897038,223
NW_003526941.1,897039,226
NW_003526941.1,897091,272
NW_003526941.1,897138,253
NW_003526941.1,897167,265
NW_003526941.1,897174,275
NW_003526941.1,897657,44
NW_003526941.1,897665,50
NW_003526941.1,897823,88
NW_003526941.1,898174,108
NW_003526941.1,898184,115
NW_003526941.1,898187,119
NW_003526941.1,898192,114
NW_003526941.1,898196,116
NW_003526941.1,898338,87
NW_003526941.1,898495,70
NW_003526941.1,898562,108
NW_003526941.1,898563,109
NW_003526941.1,898564,111
NW_003526941.1,898580,110
NW_003526941.1,898592,120
NW_003526941.1,898596,124
NW_003526941.1,898607,122
NW_003526941.1,898608,121
NW_003526941.1,898619,133
NW_003526941.1,898628,138
NW_003526941.1,898635,141
NW_003526941.1,898827,2
NW_003526941.1,899056,72
NW_003526941.1,899057,76
NW_003526941.1,899062,86
NW_003526941.1,899074,99
NW_003526941.1,899075,102
NW_003526941.1,899077,109
NW_003526941.1,899082,114
NW_003526941.1,899139,164
NW_003526941.1,899146,164
NW_003526941.1,899153,169
NW_003526941.1,899158,169
NW_003526941.1,899164,174
NW_003526941.1,899175,177
NW_003526941.1,899191,171
NW_003526941.1,899199,172
NW_003526941.1,899557,25
NW_003526941.1,899562,25
NW_003526941.1,899585,37
NW_003526941.1,899937,112
NW_003526941.1,899939,112
NW_003526941.1,899941,115
NW_003526941.1,899952,119
NW_003526941.1,900645,89
NW_003526941.1,900672,110
NW_003526941.1,900683,113
NW_003526941.1,900688,118
NW_003526941.1,900690,120
NW_003526941.1,900694,127
NW_003526941.1,900699,131
NW_003526941.1,900701,133
NW_003526941.1,900704,137
NW_003526941.1,900709,146
NW_003526941.1,900719,154
NW_003526941.1,900721,155
NW_003526941.1,900725,155
NW_003526941.1,900747,166
NW_003526941.1,900791,179
NW_003526941.1,900997,145
NW_003526941.1,902096,38
NW_003526941.1,902116,46
NW_003526941.1,902135,51
NW_003526941.1,902148,53
NW_003526941.1,902155,55
NW_003526941.1,902163,61
NW_003526941.1,902294,36
NW_003526941.1,902347,27
NW_003526941.1,902349,29
NW_003526941.1,3386629,94
NW_003526941.1,3386632,94
NW_003526941.1,3386642,96
NW_003526941.1,3386647,100
NW_003526941.1,3386652,99
NW_003526941.1,3386661,107
NW_003526941.1,3386665,107
NW_003526941.1,3386666,107
NW_003526941.1,3386670,109
NW_003526941.1,3386671,110
NW_003526941.1,3386673,117
NW_003526941.1,3386675,119
NW_003526941.1,3386677,121
NW_003526941.1,3386678,122
NW_003526941.1,3386682,128
NW_003526941.1,3386685,135
NW_003526941.1,3386688,142
NW_003526941.1,3386689,145
NW_003526941.1,3386694,153
NW_003526941.1,3388315,220
NW_003526941.1,3388527,180
NW_003526941.1,3388588,171
NW_003526941.1,3390717,3
NW_003526941.1,3390721,9
NW_003526941.1,3390724,17
NW_003526941.1,3390725,20
NW_003526941.1,3390730,22
NW_003526941.1,3390735,27
NW_003526941.1,3390736,81
NW_003526941.1,3390737,83
NW_003526941.1,3390738,85
NW_003526941.1,3390740,88
NW_003526941.1,3390741,90
NW_003526941.1,3390742,93
NW_003526941.1,3390745,100
NW_003526941.1,3390750,112
NW_003526941.1,3390754,119
NW_003526941.1,3390756,125
NW_003526941.1,3390762,138
NW_003526941.1,3390763,139
NW_003526941.1,3390766,151
NW_003526941.1,3390773,164
NW_003526941.1,3390774,166
NW_003526941.1,3390782,182
NW_003526941.1,3390788,196
NW_003526941.1,3390792,205
NW_003526941.1,3390793,208
NW_003526941.1,3390801,227
NW_003526941.1,3390812,250
NW_003526941.1,3390856,295
NW_003526941.1,3390857,298
NW_003526941.1,3390859,318
NW_003526941.1,3390862,332
NW_003526941.1,3390864,352
NW_003526941.1,3390865,365
NW_003526941.1,3390962,342
NW_003526941.1,3391044,322
NW_003526941.1,3391162,1123
NW_003526941.1,3391170,1196
NW_003526941.1,3391171,1201
NW_003526941.1,3391177,1262
NW_003526941.1,3391178,1284
NW_003526941.1,3391180,1291
NW_003526941.1,3391181,1307
NW_003526941.1,3391182,1320
NW_003526941.1,3391185,1353
NW_003526941.1,3391186,1360
NW_003526941.1,3391188,1381
NW_003526941.1,3391219,1521
NW_003526941.1,3391252,1556
NW_003526941.1,3391253,1576
NW_003526941.1,3391254,1583
NW_003526941.1,3391255,1584
NW_003526941.1,3391256,1596
NW_003526941.1,3391257,1614
NW_003526941.1,3391259,1635
NW_003526941.1,3391260,1647
NW_003526941.1,3391261,1656
NW_003526941.1,3391262,1653
NW_003526941.1,3391264,1653
NW_003526941.1,3391265,1658
NW_003526941.1,3391474,812
NW_003526941.1,3391533,783
NW_003526941.1,3391547,769
NW_003526941.1,3391745,566
NW_003526941.1,3391773,510
NW_003526941.1,3391822,541
NW_003526941.1,3391829,547
NW_003526941.1,3391842,552
NW_003526941.1,3391853,544
NW_003526941.1,3391857,548
NW_003526941.1,3391864,569
NW_003526941.1,3391865,574
NW_003526941.1,3391866,577
NW_003526941.1,3391867,582
NW_003526941.1,3391868,582
NW_003526941.1,3391869,581
NW_003526941.1,3391870,590
NW_003526941.1,3391871,592
NW_003526941.1,3391872,597
NW_003526941.1,3391873,604
NW_003526941.1,3391874,610
NW_003526941.1,3391875,607
NW_003526941.1,3391876,616
NW_003526941.1,3391877,626
NW_003526941.1,3391878,634
NW_003526941.1,3391879,643
NW_003526941.1,3391880,648
NW_003526941.1,3391881,665
NW_003526941.1,3391882,667
NW_003526941.1,3391883,673
NW_003526941.1,3391884,708
NW_003526941.1,3391885,712
NW_003526941.1,3391886,725
NW_003526941.1,3391887,736
NW_003526941.1,3391888,761
NW_003526941.1,3391889,774
NW_003526941.1,3391890,790
NW_003526941.1,3391891,804
NW_003526941.1,3391892,816
NW_003526941.1,3391893,830
NW_003526941.1,3391894,837
NW_003526941.1,3391895,848
NW_003526941.1,3391896,864
NW_003526941.1,3391897,872
NW_003526941.1,3391898,876
NW_003526941.1,3391899,888
NW_003526941.1,3391900,893
NW_003526941.1,3391901,903
NW_003526941.1,3391902,918
NW_003526941.1,3391903,938
NW_003526941.1,3391904,952
NW_003526941.1,3391905,962
NW_003526941.1,3391906,966
NW_003526941.1,3391907,983
NW_003526941.1,3391908,991
NW_003526941.1,3391909,1004
NW_003526941.1,3391910,1017
NW_003526941.1,3391911,1023
NW_003526941.1,3391912,1028
NW_003526941.1,3391913,1031
NW_003526941.1,3391914,1035
NW_003526941.1,3391915,1047
NW_003526941.1,3391916,1061
NW_003526941.1,3391917,1074
NW_003526941.1,3391918,1096
NW_003526941.1,3391919,1107
NW_003526941.1,3391920,1113
NW_003526941.1,3391921,1125
NW_003526941.1,3391922,1132
NW_003526941.1,3391923,1133
NW_003526941.1,3391924,1140
NW_003526941.1,3391925,1146
NW_003526941.1,3391926,1143
NW_003526941.1,3391927,1147
NW_003526941.1,3391928,1161
NW_003526941.1,3391929,1162
NW_003526941.1,3391930,1159
NW_003526941.1,3391931,1163
NW_003526941.1,3391932,1170
NW_003526941.1,3391933,1177
NW_003526941.1,3391934,1192
NW_003526941.1,3391935,1202
NW_003526941.1,3391936,1203
NW_003526941.1,3391937,1208
NW_003526941.1,3391938,1220
NW_003526941.1,3391939,1220
NW_003526941.1,3391940,1234
NW_003526941.1,3391941,1240
NW_003526941.1,3391942,1248
NW_003526941.1,3391943,1252
NW_003526941.1,3391944,1259
NW_003526941.1,3391945,1271
NW_003526941.1,3391946,1280
NW_003526941.1,3391947,1277
NW_003526941.1,3391948,1285
NW_003526941.1,3391949,1293
NW_003526941.1,3391950,1297
NW_003526941.1,3391951,1300
NW_003526941.1,3391952,1303
NW_003526941.1,3391953,1309
NW_003526941.1,3391954,1314
NW_003526941.1,3391955,1319
NW_003526941.1,3391956,1326
NW_003526941.1,3391957,1331
NW_003526941.1,3391958,1340
NW_003526941.1,3391959,1345
NW_003526941.1,3391960,1353
NW_003526941.1,3391961,1363
NW_003526941.1,3391962,1378
NW_003526941.1,3391963,1386
NW_003526941.1,3391964,1388
NW_003526941.1,3391965,1398
NW_003526941.1,3391966,1413
NW_003526941.1,3391967,1418
NW_003526941.1,3391968,1423
NW_003526941.1,3391969,1435
NW_003526941.1,3391970,1442
NW_003526941.1,3393621,3
NW_003526941.1,3393849,94
NW_003526941.1,3393850,95
NW_003526941.1,3401807,139
NW_003526941.1,3402690,148
NW_003526941.1,3403891,140
NW_003526941.1,3404504,149
NW_003526941.1,3406778,99
NW_003526941.1,3407516,162
NW_003526941.1,3408118,117
NW_003526941.1,3419672,118
NW_003526941.1,3420972,161
NW_003526941.1,3421322,148
NW_003526941.1,3426112,133
NW_003526941.1,3426120,156
NW_003526941.1,3426157,151
NW_003526941.1,3426522,552
NW_003526941.1,3426526,582
NW_003526941.1,3426528,607
NW_003526941.1,3426541,685
NW_003526941.1,3426597,1015
NW_003526941.1,3426627,2050
NW_003526941.1,3426635,2257
NW_003526941.1,3426642,2449
NW_003526941.1,3426643,2482
NW_003526941.1,3426673,3142
NW_003526941.1,3426674,3175
NW_003526941.1,3426713,5220
NW_003526941.1,3426718,5556
NW_003526941.1,3426719,5696
NW_003526941.1,3426720,5761
NW_003526941.1,3426721,5811
NW_003526941.1,3426722,5875
NW_003526941.1,3426723,5915
NW_003526941.1,3426724,5930
NW_003526941.1,3426725,5973
NW_003526941.1,3426727,6035
NW_003526941.1,3426730,6046
NW_003526941.1,3426731,6079
NW_003526941.1,3426733,6057
NW_003526941.1,3426734,6080
NW_003526941.1,3426735,6070
NW_003526941.1,3426739,6084
NW_003526941.1,3426740,6077
NW_003526941.1,3426742,6072
NW_003526941.1,3426743,6080
NW_003526941.1,3426745,5678
NW_003526941.1,3426747,6101
NW_003526941.1,3426748,6093
NW_003526941.1,3426751,6088
NW_003526941.1,3426752,6104
NW_003526941.1,3426753,6112
NW_003526941.1,3426755,6126
NW_003526941.1,3426756,6128
NW_003526941.1,3426757,6132
NW_003526941.1,3426758,6131
NW_003526941.1,3426759,6170
NW_003526941.1,3426760,6187
NW_003526941.1,3426761,6212
NW_003526941.1,3426763,6216
NW_003526941.1,3426765,6240
NW_003526941.1,3426767,6241
NW_003526941.1,3426768,6235
NW_003526941.1,3426770,6254
NW_003526941.1,3426771,6268
NW_003526941.1,3426772,6276
NW_003526941.1,3426773,6228
NW_003526941.1,3426774,6234
NW_003526941.1,3426775,6242
NW_003526941.1,3426776,6248
NW_003526941.1,3426777,6271
NW_003526941.1,3426778,6314
NW_003526941.1,3426779,6347
NW_003526941.1,3426780,6353
NW_003526941.1,3426781,6382
NW_003526941.1,3426782,6404
NW_003526941.1,3426783,6440
NW_003526941.1,3426785,6464
NW_003526941.1,3426786,6505
NW_003526941.1,3426787,6554
NW_003526941.1,3426789,6598
NW_003526941.1,3426790,6639
NW_003526941.1,3426792,6681
NW_003526941.1,3426793,6702
NW_003526941.1,3426794,6706
NW_003526941.1,3426795,6724
NW_003526941.1,3426796,6734
NW_003526941.1,3426797,6748
NW_003526941.1,3426798,6772
NW_003526941.1,3426799,6787
NW_003526941.1,3426800,6784
NW_003526941.1,3426802,6750
NW_003526941.1,3426803,6729
NW_003526941.1,3426804,6704
NW_003526941.1,3426805,6697
NW_003526941.1,3426806,6680
NW_003526941.1,3426807,6667
NW_003526941.1,3426810,6605
NW_003526941.1,3426812,6539
NW_003526941.1,3426819,6397
NW_003526941.1,3426825,6298
NW_003526941.1,3426826,6274
NW_003526941.1,3426827,6231
NW_003526941.1,3426838,5901
NW_003526941.1,3426844,5621
NW_003526941.1,3426851,5401
NW_003526941.1,3426854,5379
NW_003526941.1,3426856,5324
NW_003526941.1,3426861,5263
NW_003526941.1,3426862,5258
NW_003526941.1,3426873,5203
NW_003526941.1,3426874,5190
NW_003526941.1,3426875,5182
NW_003526941.1,3426878,5152
NW_003526941.1,3426880,5145
NW_003526941.1,3426881,5135
NW_003526941.1,3426882,5132
NW_003526941.1,3426883,5121
NW_003526941.1,3426884,5091
NW_003526941.1,3426886,5016
NW_003526941.1,3426888,4966
NW_003526941.1,3426889,4954
NW_003526941.1,3426890,4933
NW_003526941.1,3426892,4915
NW_003526941.1,3426893,4903
NW_003526941.1,3426894,4891
NW_003526941.1,3426895,4873
NW_003526941.1,3426896,4867
NW_003526941.1,3426897,4869
NW_003526941.1,3426898,4849
NW_003526941.1,3426900,4812
NW_003526941.1,3426901,4803
NW_003526941.1,3426902,4788
NW_003526941.1,3426903,4752
NW_003526941.1,3426904,4718
NW_003526941.1,3426905,4708
NW_003526941.1,3426906,4674
NW_003526941.1,3426907,4644
NW_003526941.1,3426908,4605
NW_003526941.1,3426909,4589
NW_003526941.1,3426910,4567
NW_003526941.1,3426911,4528
NW_003526941.1,3426912,4409
NW_003526941.1,3426913,4410
NW_003526941.1,3426914,4381
NW_003526941.1,3426915,4332
NW_003526941.1,3426916,4297
NW_003526941.1,3426917,4292
NW_003526941.1,3426918,4282
NW_003526941.1,3426919,4268
NW_003526941.1,3426920,4243
NW_003526941.1,3426921,4229
NW_003526941.1,3426922,4221
NW_003526941.1,3426927,4103
NW_003526941.1,3426928,4084
NW_003526941.1,3426929,4077
NW_003526941.1,3426931,4017
NW_003526941.1,3426932,3989
NW_003526941.1,3426933,3975
NW_003526941.1,3426934,3956
NW_003526941.1,3426935,3925
NW_003526941.1,3426936,3911
NW_003526941.1,3426937,3902
NW_003526941.1,3426938,3882
NW_003526941.1,3426939,3861
NW_003526941.1,3426940,3838
NW_003526941.1,3426941,3824
NW_003526941.1,3426991,2481
NW_003526941.1,3435630,6
NW_003526941.1,3435656,7
NW_003526941.1,3435659,9
NW_003526941.1,3435669,12
NW_003526941.1,3435691,21
NW_003526941.1,3435700,27
NW_003526941.1,3435702,28
NW_003526941.1,3435707,31
NW_003526941.1,3435715,33
NW_003526941.1,3435725,37
NW_003526941.1,3435734,43
NW_003526941.1,3435735,45
NW_003526941.1,3435736,47
NW_003526941.1,3435743,51
NW_003526941.1,3435747,54
NW_003526941.1,3435748,55
NW_003526941.1,3435971,20
NW_003526941.1,3435974,23
NW_003526941.1,3952463,153
NW_003526941.1,3956069,147
NW_003526941.1,3956326,161
NW_003526941.1,3956344,141
NW_003526941.1,3958228,113
NW_003526941.1,3958265,101
NW_003526941.1,3958267,100
NW_003526941.1,3958270,99
NW_003526941.1,3958273,98
NW_003526941.1,3958274,100
NW_003526941.1,3958279,98
NW_003526941.1,3958281,100
NW_003526941.1,3958364,67
NW_003526941.1,3958365,77
NW_003526941.1,3958371,78
NW_003526941.1,3958374,81
NW_003526941.1,3958377,80
NW_003526941.1,3958379,80
NW_003526941.1,3958384,80
NW_003526941.1,3958397,77
NW_003526941.1,3958411,71
NW_003526941.1,3958423,70
NW_003526941.1,3958432,66
NW_003526941.1,3958609,57
NW_003526941.1,3958631,61
NW_003526941.1,3958646,60
NW_003526941.1,3958669,63
NW_003526941.1,3958679,63
NW_003526941.1,3958693,67
NW_003526941.1,3958694,68
NW_003526941.1,3958707,79
NW_003526941.1,3958720,82
NW_003526941.1,3958729,83
NW_003526941.1,3958733,85
NW_003526941.1,3958742,83
NW_003526941.1,3958814,110
NW_003526941.1,3958820,119
NW_003526941.1,3958821,122
NW_003526941.1,3958822,122
NW_003526941.1,3958827,129
NW_003526941.1,3958840,129
NW_003526941.1,3958843,133
NW_003526941.1,3958844,138
NW_003526941.1,3958848,133
NW_003526941.1,3958849,135
NW_003526941.1,3958880,199
NW_003526941.1,3958883,208
NW_003526941.1,3958886,216
NW_003526941.1,3958891,236
NW_003526941.1,3959004,353
NW_003526941.1,3959038,302
NW_003526941.1,3959048,290
NW_003526941.1,3959051,291
NW_003526941.1,3959054,289
NW_003526941.1,3959066,280
NW_003526941.1,3959067,278
NW_003526941.1,3959069,276
NW_003526941.1,3959303,45
NW_003526941.1,3959304,46
NW_003526941.1,3959309,55
NW_003526941.1,3959322,61
NW_003526941.1,3959331,64
NW_003526941.1,3959334,68
NW_003526941.1,3959335,70
NW_003526941.1,3959336,72
NW_003526941.1,3959337,86
NW_003526941.1,3959338,91
NW_003526941.1,3959341,93
NW_003526941.1,3959345,97
NW_003526941.1,3959346,100
NW_003526941.1,3959347,101
NW_003526941.1,3959379,127
NW_003526941.1,3960678,176
NW_003526941.1,3960876,138
NW_003526941.1,3960893,145
NW_003526941.1,3960914,155
NW_003526941.1,3960917,157
NW_003526941.1,3960924,171
NW_003526941.1,3960925,174
NW_003526941.1,3960929,177
NW_003526941.1,3960931,182
NW_003526941.1,3960935,186
NW_003526941.1,3960937,185
NW_003526941.1,3960942,183
NW_003526941.1,3960945,179
NW_003526941.1,3960951,181
NW_003526941.1,3960955,181
NW_003526941.1,3960967,167
NW_003526941.1,3960973,171
NW_003526941.1,3960977,169
NW_003526941.1,3960987,180
NW_003526941.1,3961090,135
NW_003526941.1,3961376,218
NW_003526941.1,3961613,155
NW_003526941.1,3961740,167
NW_003526941.1,3962138,140
NW_003526941.1,3962141,137
NW_003526941.1,3962154,160
NW_003526941.1,3962156,161
NW_003526941.1,3962170,181
NW_003526941.1,3962270,303
NW_003526941.1,3962381,308
NW_003526941.1,3962401,298
NW_003526941.1,3962412,296
NW_003526941.1,3962414,294
NW_003526941.1,3962418,240
NW_003526941.1,3962419,290
NW_003526941.1,3962421,294
NW_003526941.1,3962424,290
NW_003526941.1,3962425,295
NW_003526941.1,3962426,296
NW_003526941.1,3962427,298
NW_003526941.1,3962430,303
NW_003526941.1,3962431,305
NW_003526941.1,3962432,305
NW_003526941.1,3962434,303
NW_003526941.1,3962435,302
NW_003526941.1,3962436,303
NW_003526941.1,3962437,302
NW_003526941.1,3962438,301
NW_003526941.1,3962440,293
NW_003526941.1,3962441,293
NW_003526941.1,3962443,288
NW_003526941.1,3962444,289
NW_003526941.1,3962445,291
NW_003526941.1,3962449,293
NW_003526941.1,3962453,299
NW_003526941.1,3962454,298
NW_003526941.1,3962456,301
NW_003526941.1,3962457,301
NW_003526941.1,3962458,300
NW_003526941.1,3962459,303
NW_003526941.1,3962462,303
NW_003526941.1,3962463,310
NW_003526941.1,3962464,312
NW_003526941.1,3962465,315
NW_003526941.1,3962466,315
NW_003526941.1,3962468,317
NW_003526941.1,3962469,318
NW_003526941.1,3962470,320
NW_003526941.1,3962471,323
NW_003526941.1,3962472,326
NW_003526941.1,3962473,325
NW_003526941.1,3962476,329
NW_003526941.1,3962477,330
NW_003526941.1,3962478,332
NW_003526941.1,3962479,333
NW_003526941.1,3962480,333
NW_003526941.1,3962481,334
NW_003526941.1,3962482,336
NW_003526941.1,3962483,335
NW_003526941.1,3962484,393
NW_003526941.1,3962485,396
NW_003526941.1,3962486,399
NW_003526941.1,3962487,400
NW_003526941.1,3962488,399
NW_003526941.1,3962489,397
NW_003526941.1,3962492,395
NW_003526941.1,3962494,398
NW_003526941.1,3962495,395
NW_003526941.1,3962497,392
NW_003526941.1,3962501,390
NW_003526941.1,3962502,386
NW_003526941.1,3962503,383
NW_003526941.1,3962504,382
NW_003526941.1,3962507,377
NW_003526941.1,3963438,8
NW_003526941.1,3963444,11
