chromosome,source,feature,start,end,score,strand,frame,Name,gbkey,gene_biotype,Parent,transcript_id,protein_id,pseudo,partial,ID,locus_tag,inference,Dbxref,end_range,product,start_range,Note
NW_003526941.1,RefSeq,gene,884341,885338,.,+,.,Tsp_02678,Gene,protein_coding,,,,,,gene-Tsp_02678,"Tsp_02678
",,GeneID:10899134,,,,
NW_003526941.1,RefSeq,mRNA,884341,885338,.,+,.,XM_003378957.1,mRNA,,gene-Tsp_02678,"XM_003378957.1
",,,,rna-XM_003378957.1,Tsp_02678,,"GenBank:XM_003378957.1,GeneID:10899134",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,884341,884475,.,+,.,,mRNA,,rna-XM_003378957.1,"XM_003378957.1
",,,,exon-XM_003378957.1-1,Tsp_02678,,"GenBank:XM_003378957.1,GeneID:10899134",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,884625,884696,.,+,.,,mRNA,,rna-XM_003378957.1,"XM_003378957.1
",,,,exon-XM_003378957.1-2,Tsp_02678,,"GenBank:XM_003378957.1,GeneID:10899134",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,884911,885008,.,+,.,,mRNA,,rna-XM_003378957.1,"XM_003378957.1
",,,,exon-XM_003378957.1-3,Tsp_02678,,"GenBank:XM_003378957.1,GeneID:10899134",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,885299,885338,.,+,.,,mRNA,,rna-XM_003378957.1,"XM_003378957.1
",,,,exon-XM_003378957.1-4,Tsp_02678,,"GenBank:XM_003378957.1,GeneID:10899134",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,CDS,884341,884475,.,+,0,XP_003379005.1,CDS,,rna-XM_003378957.1,,"XP_003379005.1
",,,cds-XP_003379005.1,Tsp_02678,,"GenBank:XP_003379005.1,GeneID:10899134",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,884625,884696,.,+,0,XP_003379005.1,CDS,,rna-XM_003378957.1,,"XP_003379005.1
",,,cds-XP_003379005.1,Tsp_02678,,"GenBank:XP_003379005.1,GeneID:10899134",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,884911,885008,.,+,0,XP_003379005.1,CDS,,rna-XM_003378957.1,,"XP_003379005.1
",,,cds-XP_003379005.1,Tsp_02678,,"GenBank:XP_003379005.1,GeneID:10899134",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,885299,885338,.,+,1,XP_003379005.1,CDS,,rna-XM_003378957.1,,"XP_003379005.1
",,,cds-XP_003379005.1,Tsp_02678,,"GenBank:XP_003379005.1,GeneID:10899134",,hypothetical protein,,
NW_003526941.1,RefSeq,gene,889898,891129,.,+,.,Tsp_02679a,Gene,protein_coding,,,,,"true
",gene-Tsp_02679a,Tsp_02679a,,GeneID:10899135,"891129,.",,,
NW_003526941.1,RefSeq,mRNA,889898,891129,.,+,.,XM_003378958.1,mRNA,,gene-Tsp_02679a,"XM_003378958.1
",,,true,rna-XM_003378958.1,Tsp_02679a,,"GenBank:XM_003378958.1,GeneID:10899135","891129,.",conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,889898,889993,.,+,.,,mRNA,,rna-XM_003378958.1,"XM_003378958.1
",,,true,exon-XM_003378958.1-1,Tsp_02679a,,"GenBank:XM_003378958.1,GeneID:10899135",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,890363,890491,.,+,.,,mRNA,,rna-XM_003378958.1,"XM_003378958.1
",,,true,exon-XM_003378958.1-2,Tsp_02679a,,"GenBank:XM_003378958.1,GeneID:10899135",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,890773,890839,.,+,.,,mRNA,,rna-XM_003378958.1,"XM_003378958.1
",,,true,exon-XM_003378958.1-3,Tsp_02679a,,"GenBank:XM_003378958.1,GeneID:10899135",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,890874,890894,.,+,.,,mRNA,,rna-XM_003378958.1,"XM_003378958.1
",,,true,exon-XM_003378958.1-4,Tsp_02679a,,"GenBank:XM_003378958.1,GeneID:10899135",,conserved hypothetical protein,,
NW_003526941.1,RefSeq,exon,891032,891129,.,+,.,,mRNA,,rna-XM_003378958.1,"XM_003378958.1
",,,true,exon-XM_003378958.1-5,Tsp_02679a,,"GenBank:XM_003378958.1,GeneID:10899135","891129,.",conserved hypothetical protein,,
NW_003526941.1,RefSeq,CDS,889898,889993,.,+,0,XP_003379006.1,CDS,,rna-XM_003378958.1,,"XP_003379006.1
",,true,cds-XP_003379006.1,Tsp_02679a,,"GenBank:XP_003379006.1,GeneID:10899135",,hypothetical protein,,5' end%3B 3' end is gene Tsp_02679 on contig Tsp_Contig1.25
NW_003526941.1,RefSeq,CDS,890363,890491,.,+,0,XP_003379006.1,CDS,,rna-XM_003378958.1,,"XP_003379006.1
",,true,cds-XP_003379006.1,Tsp_02679a,,"GenBank:XP_003379006.1,GeneID:10899135",,hypothetical protein,,5' end%3B 3' end is gene Tsp_02679 on contig Tsp_Contig1.25
NW_003526941.1,RefSeq,CDS,890773,890839,.,+,0,XP_003379006.1,CDS,,rna-XM_003378958.1,,"XP_003379006.1
",,true,cds-XP_003379006.1,Tsp_02679a,,"GenBank:XP_003379006.1,GeneID:10899135",,hypothetical protein,,5' end%3B 3' end is gene Tsp_02679 on contig Tsp_Contig1.25
NW_003526941.1,RefSeq,CDS,890874,890894,.,+,2,XP_003379006.1,CDS,,rna-XM_003378958.1,,"XP_003379006.1
",,true,cds-XP_003379006.1,Tsp_02679a,,"GenBank:XP_003379006.1,GeneID:10899135",,hypothetical protein,,5' end%3B 3' end is gene Tsp_02679 on contig Tsp_Contig1.25
NW_003526941.1,RefSeq,CDS,891032,891129,.,+,2,XP_003379006.1,CDS,,rna-XM_003378958.1,,"XP_003379006.1
",,true,cds-XP_003379006.1,Tsp_02679a,,"GenBank:XP_003379006.1,GeneID:10899135","891129,.",hypothetical protein,,5' end%3B 3' end is gene Tsp_02679 on contig Tsp_Contig1.25
NW_003526941.1,RefSeq,gene,892927,892956,.,+,.,Tsp_02679,Gene,protein_coding,,,,,true,gene-Tsp_02679,Tsp_02679,,GeneID:10899136,,,".,892927
",
NW_003526941.1,RefSeq,mRNA,892927,892956,.,+,.,XM_003378959.1,mRNA,,gene-Tsp_02679,"XM_003378959.1
",,,true,rna-XM_003378959.1,Tsp_02679,,"GenBank:XM_003378959.1,GeneID:10899136",,conserved hypothetical protein,".,892927",
NW_003526941.1,RefSeq,exon,892927,892956,.,+,.,,mRNA,,rna-XM_003378959.1,"XM_003378959.1
",,,true,exon-XM_003378959.1-1,Tsp_02679,,"GenBank:XM_003378959.1,GeneID:10899136",,conserved hypothetical protein,".,892927",
NW_003526941.1,RefSeq,CDS,892927,892956,.,+,0,XP_003379007.1,CDS,,rna-XM_003378959.1,,XP_003379007.1,,true,cds-XP_003379007.1,Tsp_02679,,"GenBank:XP_003379007.1,GeneID:10899136",,hypothetical protein,".,892927
",3' end%3B 5' end is gene Tsp_02679 on contig Tsp_Contig1.24
NW_003526941.1,RefSeq,gene,893479,894831,.,-,.,Tsp_02680,Gene,protein_coding,,,,,,gene-Tsp_02680,"Tsp_02680
",,GeneID:10899137,,,,
NW_003526941.1,RefSeq,mRNA,893479,894831,.,-,.,XM_003378960.1,mRNA,,gene-Tsp_02680,"XM_003378960.1
",,,,rna-XM_003378960.1,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,894789,894831,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-1,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,894695,894759,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-2,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,894515,894585,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-3,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,894366,894474,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-4,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,894188,894338,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-5,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,893940,894010,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-6,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,893873,893918,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-7,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,893597,893710,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-8,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,893479,893555,.,-,.,,mRNA,,rna-XM_003378960.1,"XM_003378960.1
",,,,exon-XM_003378960.1-9,Tsp_02680,,"GenBank:XM_003378960.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,894789,894831,.,-,0,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,894695,894759,.,-,2,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,894515,894585,.,-,0,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,894366,894474,.,-,1,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,894188,894338,.,-,0,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,893940,894010,.,-,2,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,893873,893918,.,-,0,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,893597,893710,.,-,2,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,893479,893555,.,-,2,XP_003379008.1,CDS,,rna-XM_003378960.1,,"XP_003379008.1
",,,cds-XP_003379008.1,Tsp_02680,,"GenBank:XP_003379008.1,GeneID:10899137",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3382132,3382180,.,-,.,,mRNA,,rna-XM_003379528.1,"XM_003379528.1
",,,,exon-XM_003379528.1-1,Tsp_03233,,"GenBank:XM_003379528.1,GeneID:10908485",,conserved domain protein,,
NW_003526941.1,RefSeq,CDS,3382132,3382180,.,-,0,XP_003379576.1,CDS,,rna-XM_003379528.1,,"XP_003379576.1
",,,cds-XP_003379576.1,Tsp_03233,,"GenBank:XP_003379576.1,GeneID:10908485",,hypothetical protein,,
NW_003526941.1,RefSeq,gene,3383589,3385641,.,+,.,Tsp_03234,Gene,protein_coding,,,,,,gene-Tsp_03234,"Tsp_03234
",,GeneID:10908486,,,,
NW_003526941.1,RefSeq,mRNA,3383589,3385641,.,+,.,XM_003379529.1,mRNA,,gene-Tsp_03234,"XM_003379529.1
",,,,rna-XM_003379529.1,Tsp_03234,,"GenBank:XM_003379529.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3383589,3383620,.,+,.,,mRNA,,rna-XM_003379529.1,"XM_003379529.1
",,,,exon-XM_003379529.1-1,Tsp_03234,,"GenBank:XM_003379529.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3384152,3384255,.,+,.,,mRNA,,rna-XM_003379529.1,"XM_003379529.1
",,,,exon-XM_003379529.1-2,Tsp_03234,,"GenBank:XM_003379529.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3384961,3385069,.,+,.,,mRNA,,rna-XM_003379529.1,"XM_003379529.1
",,,,exon-XM_003379529.1-3,Tsp_03234,,"GenBank:XM_003379529.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3385539,3385641,.,+,.,,mRNA,,rna-XM_003379529.1,"XM_003379529.1
",,,,exon-XM_003379529.1-4,Tsp_03234,,"GenBank:XM_003379529.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3383589,3383620,.,+,0,XP_003379577.1,CDS,,rna-XM_003379529.1,,"XP_003379577.1
",,,cds-XP_003379577.1,Tsp_03234,,"GenBank:XP_003379577.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3384152,3384255,.,+,1,XP_003379577.1,CDS,,rna-XM_003379529.1,,"XP_003379577.1
",,,cds-XP_003379577.1,Tsp_03234,,"GenBank:XP_003379577.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3384961,3385069,.,+,2,XP_003379577.1,CDS,,rna-XM_003379529.1,,"XP_003379577.1
",,,cds-XP_003379577.1,Tsp_03234,,"GenBank:XP_003379577.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3385539,3385641,.,+,1,XP_003379577.1,CDS,,rna-XM_003379529.1,,"XP_003379577.1
",,,cds-XP_003379577.1,Tsp_03234,,"GenBank:XP_003379577.1,GeneID:10908486",,hypothetical protein,,
NW_003526941.1,RefSeq,gene,3385853,3390023,.,-,.,Tsp_03235,Gene,protein_coding,,,,,,gene-Tsp_03235,"Tsp_03235
",,GeneID:10908487,,,,
NW_003526941.1,RefSeq,mRNA,3385853,3390023,.,-,.,XM_003379530.1,mRNA,,gene-Tsp_03235,"XM_003379530.1
",,,,rna-XM_003379530.1,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3389997,3390023,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-1,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3389131,3389223,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-2,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3388867,3388917,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-3,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3387892,3387970,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-4,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3387462,3387578,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-5,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3387327,3387422,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-6,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3387064,3387267,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-7,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3386965,3387034,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-8,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3386652,3386732,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-9,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3386570,3386599,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-10,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,exon,3385853,3386006,.,-,.,,mRNA,,rna-XM_003379530.1,"XM_003379530.1
",,,,exon-XM_003379530.1-11,Tsp_03235,,"GenBank:XM_003379530.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3389997,3390023,.,-,0,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3389131,3389223,.,-,0,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3388867,3388917,.,-,0,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3387892,3387970,.,-,0,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3387462,3387578,.,-,2,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3387327,3387422,.,-,2,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3387064,3387267,.,-,2,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3386965,3387034,.,-,2,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3386652,3386732,.,-,1,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3386570,3386599,.,-,1,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,CDS,3385853,3386006,.,-,1,XP_003379578.1,CDS,,rna-XM_003379530.1,,"XP_003379578.1
",,,cds-XP_003379578.1,Tsp_03235,,"GenBank:XP_003379578.1,GeneID:10908487",,hypothetical protein,,
NW_003526941.1,RefSeq,gene,3395319,3396545,.,-,.,Tsp_03236,Gene,protein_coding,,,,,,gene-Tsp_03236,"Tsp_03236
",,GeneID:10908488,,,,
NW_003526941.1,RefSeq,mRNA,3395319,3396545,.,-,.,XM_003379531.1,mRNA,,gene-Tsp_03236,"XM_003379531.1
",,,,rna-XM_003379531.1,Tsp_03236,,"GenBank:XM_003379531.1,GeneID:10908488",,7 transmembrane receptor,,
NW_003526941.1,RefSeq,exon,3395319,3396545,.,-,.,,mRNA,,rna-XM_003379531.1,"XM_003379531.1
",,,,exon-XM_003379531.1-1,Tsp_03236,,"GenBank:XM_003379531.1,GeneID:10908488",,7 transmembrane receptor,,
NW_003526941.1,RefSeq,CDS,3395319,3396545,.,-,0,XP_003379579.1,CDS,,rna-XM_003379531.1,,"XP_003379579.1
",,,cds-XP_003379579.1,Tsp_03236,,"GenBank:XP_003379579.1,GeneID:10908488",,7 transmembrane receptor,,
NW_003526941.1,RefSeq,gene,3403550,3409424,.,-,.,Tsp_03237,Gene,protein_coding,,,,,,gene-Tsp_03237,"Tsp_03237
",,GeneID:10908489,,,,
NW_003526941.1,RefSeq,mRNA,3403550,3409424,.,-,.,XM_003379532.1,mRNA,,gene-Tsp_03237,"XM_003379532.1
",,,,rna-XM_003379532.1,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3409300,3409424,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-1,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3407393,3407499,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-2,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3406538,3407026,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-3,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3405569,3405615,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-4,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3405169,3405496,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-5,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3404843,3405116,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-6,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3404032,3404288,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-7,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3403796,3403947,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-8,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,exon,3403550,3403591,.,-,.,,mRNA,,rna-XM_003379532.1,"XM_003379532.1
",,,,exon-XM_003379532.1-9,Tsp_03237,,"GenBank:XM_003379532.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3409300,3409424,.,-,0,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3407393,3407499,.,-,1,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3406538,3407026,.,-,2,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3405569,3405615,.,-,2,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3405169,3405496,.,-,0,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3404843,3405116,.,-,2,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3404032,3404288,.,-,1,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3403796,3403947,.,-,2,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,CDS,3403550,3403591,.,-,0,XP_003379580.1,CDS,,rna-XM_003379532.1,,"XP_003379580.1
",,,cds-XP_003379580.1,Tsp_03237,,"GenBank:XP_003379580.1,GeneID:10908489",,serine protease hepsin,,
NW_003526941.1,RefSeq,gene,3413613,3414206,.,+,.,Tsp_03238,Gene,protein_coding,,,,,,gene-Tsp_03238,"Tsp_03238
",,GeneID:10908490,,,,
NW_003526941.1,RefSeq,mRNA,3413613,3414206,.,+,.,XM_003379533.1,mRNA,,gene-Tsp_03238,"XM_003379533.1
",,,,rna-XM_003379533.1,Tsp_03238,,"GenBank:XM_003379533.1,GeneID:10908490",,niemann-Pick C1 protein,,
NW_003526941.1,RefSeq,exon,3413613,3413850,.,+,.,,mRNA,,rna-XM_003379533.1,"XM_003379533.1
",,,,exon-XM_003379533.1-1,Tsp_03238,,"GenBank:XM_003379533.1,GeneID:10908490",,niemann-Pick C1 protein,,
NW_003526941.1,RefSeq,exon,3413892,3414149,.,+,.,,mRNA,,rna-XM_003379533.1,"XM_003379533.1
",,,,exon-XM_003379533.1-2,Tsp_03238,,"GenBank:XM_003379533.1,GeneID:10908490",,niemann-Pick C1 protein,,
