Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,154,365,9%,2e-37,41.67,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25665.1?report=genbank&log$=prottop&blast_rank=95&RID=3270ZWC6013"",""AIK25665.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,156,370,11%,2e-37,43.84,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25664.1?report=genbank&log$=prottop&blast_rank=96&RID=3270ZWC6013"",""AIK25664.1"")"
repeat element 22 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,152,406,10%,3e-36,39.90,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22009.1?report=genbank&log$=prottop&blast_rank=97&RID=3270ZWC6013"",""AHY22009.1"")"
c3.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,152,398,10%,3e-36,40.62,264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45585.1?report=genbank&log$=prottop&blast_rank=98&RID=3270ZWC6013"",""BAF45585.1"")"
Rep3 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,149,385,9%,7e-36,44.89,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25723.1?report=genbank&log$=prottop&blast_rank=99&RID=3270ZWC6013"",""AIK25723.1"")"
uncharacterized protein LOC124297944 [Neodiprion virginianus],Neodiprion virginianus,148,359,10%,2e-35,48.72,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046605367.1?report=genbank&log$=prottop&blast_rank=100&RID=3270ZWC6013"",""XP_046605367.1"")"



		


